Question,Location,Answer,Count
What is the main source of drinking water for members of your household?,Ndaraweta,Rain water collection,6
What is the main source of drinking water for members of your household?,Ndaraweta,Tubewell/borehole (& pump),0
What is the main source of drinking water for members of your household?,Ndaraweta,"Surface water (e.g. river, pond)",8
What is the main source of drinking water for members of your household?,Ndaraweta,Unprotected dug well,7
What is the main source of drinking water for members of your household?,Ndaraweta,Tanker truck,0
What is the main source of drinking water for members of your household?,Ndaraweta,Public tap/standpipe,0
What is the main source of drinking water for members of your household?,Ndaraweta,Piped water,0
What is the main source of drinking water for members of your household?,Ndaraweta,Unprotected spring,30
What is the main source of drinking water for members of your household?,Ndaraweta,Protected dug well,2
What is the main source of drinking water for members of your household?,Ndaraweta,Small water vendor,0
What is the main source of drinking water for members of your household?,Ndaraweta,Other,0
What is the main source of drinking water for members of your household?,Ndaraweta,Protected spring,7
What is the main source of drinking water for members of your household?,Cheseon,Rain water collection,5
What is the main source of drinking water for members of your household?,Cheseon,Tubewell/borehole (& pump),0
What is the main source of drinking water for members of your household?,Cheseon,"Surface water (e.g. river, pond)",21
What is the main source of drinking water for members of your household?,Cheseon,Unprotected dug well,6
What is the main source of drinking water for members of your household?,Cheseon,Tanker truck,0
What is the main source of drinking water for members of your household?,Cheseon,Public tap/standpipe,0
What is the main source of drinking water for members of your household?,Cheseon,Piped water,1
What is the main source of drinking water for members of your household?,Cheseon,Unprotected spring,24
What is the main source of drinking water for members of your household?,Cheseon,Protected dug well,10
What is the main source of drinking water for members of your household?,Cheseon,Small water vendor,0
What is the main source of drinking water for members of your household?,Cheseon,Other,2
What is the main source of drinking water for members of your household?,Cheseon,Protected spring,23
Main Occupation of the Household Head _ HH,Sigor,Livestock herding,3
Main Occupation of the Household Head _ HH,Sigor,Employed (salaried),9
Main Occupation of the Household Head _ HH,Sigor,Waged labour (Casual),22
Main Occupation of the Household Head _ HH,Sigor,Own farm labour,49
Main Occupation of the Household Head _ HH,Sigor,Merchant/trader,2
Main Occupation of the Household Head _ HH,Sigor,Petty trade,9
Main Occupation of the Household Head _ HH,Sigor,Not Applicable,0
Main Occupation of the Household Head _ HH,Sigor,Firewood/charcoal,4
Main Occupation of the Household Head _ HH,Siongiroi,Livestock herding,13
Main Occupation of the Household Head _ HH,Siongiroi,Employed (salaried),10
Main Occupation of the Household Head _ HH,Siongiroi,Waged labour (Casual),17
Main Occupation of the Household Head _ HH,Siongiroi,Own farm labour,35
Main Occupation of the Household Head _ HH,Siongiroi,Merchant/trader,3
Main Occupation of the Household Head _ HH,Siongiroi,Petty trade,4
Main Occupation of the Household Head _ HH,Siongiroi,Not Applicable,2
Main Occupation of the Household Head _ HH,Siongiroi,Firewood/charcoal,0
Main Occupation of the Household Head _ HH,Singorwet,Livestock herding,0
Main Occupation of the Household Head _ HH,Singorwet,Employed (salaried),7
Main Occupation of the Household Head _ HH,Singorwet,Waged labour (Casual),18
Main Occupation of the Household Head _ HH,Singorwet,Own farm labour,30
Main Occupation of the Household Head _ HH,Singorwet,Merchant/trader,0
Main Occupation of the Household Head _ HH,Singorwet,Petty trade,1
Main Occupation of the Household Head _ HH,Singorwet,Not Applicable,3
Main Occupation of the Household Head _ HH,Singorwet,Firewood/charcoal,0
Main Occupation of the Household Head _ HH,Silibwet Township,Livestock herding,0
Main Occupation of the Household Head _ HH,Silibwet Township,Employed (salaried),5
Main Occupation of the Household Head _ HH,Silibwet Township,Waged labour (Casual),24
Main Occupation of the Household Head _ HH,Silibwet Township,Own farm labour,40
Main Occupation of the Household Head _ HH,Silibwet Township,Merchant/trader,2
Main Occupation of the Household Head _ HH,Silibwet Township,Petty trade,2
Main Occupation of the Household Head _ HH,Silibwet Township,Not Applicable,2
